Category,Message,cleaning_text
0,"go until jurong point, crazy.. available only in bugis n great world la e buffet... cine there got amore wat...",go jurong point crazy available bugis n great world la e buffet cine got amore wat
0,ok lar... joking wif u oni...,ok lar joking wif u oni
1,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005. text fa to 87121 to receive entry question(std txt rate)t&c's apply 08452810075over18's,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s
0,u dun say so early hor... u c already then say...,u dun say early hor u c already say
0,"nah i don't think he goes to usf, he lives around here though",nah dont think go usf life around though
1,"freemsg hey there darling it's been 3 week's now and no word back! i'd like some fun you up for it still? tb ok! xxx std chgs to send, £1.50 to rcv",freemsg hey darling 3 week word back id like fun still tb ok xxx std chgs send 150 rcv
0,even my brother is not like to speak with me. they treat me like aids patent.,even brother like speak treat like aid patent
0,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
1,winner!! as a valued network customer you have been selected to receivea £900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.,winner valued network customer selected receivea 900 prize reward claim call 09061701461 claim code kl341 valid 12 hour
1,had your mobile 11 months or more? u r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030,mobile 11 month u r entitled update latest colour mobile camera free call mobile update co free 08002986030
0,"i'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? i've cried enough today.",im gon na home soon dont want talk stuff anymore tonight k ive cried enough today
1,"six chances to win cash! from 100 to 20,000 pounds txt> csh11 and send to 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl 4 info",six chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info
1,"urgent! you have won a 1 week free membership in our £100,000 prize jackpot! txt the word: claim to no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18",urgent 1 week free membership 100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
0,i've been searching for the right words to thank you for this breather. i promise i wont take your help for granted and will fulfil my promise. you have been wonderful and a blessing at all times.,ive searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time
0,i have a date on sunday with will!!,date sunday
1,"xxxmobilemovieclub: to use your credit, click the wap link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=qjkgighjjgcbl",xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
0,oh k...i'm watching here:),oh kim watching
0,eh u remember how 2 spell his name... yes i did. he v naughty make until i v wet.,eh u remember 2 spell name yes v naughty make v wet
0,fine if thats the way u feel. thats the way its gota b,fine thats way u feel thats way gota b
1,"england v macedonia - dont miss the goals/team news. txt ur national team to 87077 eg england to 87077 try:wales, scotland 4txt/ú1.20 poboxox36504w45wq 16+",england v macedonia dont miss goalsteam news txt ur national team 87077 eg england 87077 trywales scotland 4txtú120 poboxox36504w45wq 16
0,is that seriously how you spell his name?,seriously spell name
0,i‘m going to try for 2 months ha ha only joking,im going try 2 month ha ha joking
0,so ü pay first lar... then when is da stock comin...,ü pay first lar da stock comin
